,store,sido,gugun,address
501,양산점,경상남도,양산시,경남 양산시 중부동 686-7 양산역프라자 109호 외
502,광주 운암 굿모닝점,광주,북구,광주광역시 북구 운암동 1080-9 굿모닝병원 1층
503,광주롯데점,광주,동구,"광주광역시 동구 대인동 22 1층,2층"
504,인천 부평역점,인천,부평구,인천광역시 부평구 경원대로 1399 (2층)
505,순천법원점,전라남도,순천시,전라남도 순천시 왕지동 869-2 대양빌딩 1층
506,노원역점,서울,노원구,서울시 노원구 상계동 724 1층
507,양재역점,서울,강남구,서울시 강남구 도곡동 953번지
508,분당 아름점,경기도,성남시,경기도 성남시 분당구 이매동 131-5 도도빌딩 2층
509,여수 학동점,전라남도,여수시,전라남도 여수시 학동 87-1 번지
510,대구 수성 유원지점,대구,수성구,대구광역시 수성구 두산동 652-3
511,목동파리공원점,서울,양천구,서울시 양천구 목동 907-10번지 현대파리지앙
512,광주 일곡점,광주,북구,광주광역시 북구 일곡동 843-1
513,서초효령로점,서울,서초구,서울시 서초구 서초동 1487-4
514,가천대점,경기도,성남시,경기도 성남시 수정구 복정동 620-2
515,부산역점,부산,동구,부산 동구 초량3동 1187-1 부산역 2층 맞이방
516,청주 산남점,충청북도,청주시,"충청북도 청주시 흥덕구 산남동 588외1필지 두꺼비빌딩 102,103호"
517,성남을지대점,경기도,성남시,경기도 성남시 수정구 양지동 529번지
518,레이킨스몰점,경기도,고양시,경기 고양시 일산구 대화동 2602번지  파스쿠찌 레이킨스몰점
519,영통구청점,경기도,수원시,경기 수원시 영통구 매탄동 1267-7 중앙프라자 1F 103호
520,광주상무점,광주,서구,광주 서구 치평동 1187 정연오피스타운 1층
521,화성 동탄점,경기도,화성시,"경기도 화성시 반송동 93-2번지 에스알골드프라자 118,119호 파스쿠찌  화성동탄점"
522,서울대병원점,서울,종로구,서울시 종로구 대학로 101 서울대학교병원 본관 1F 파스쿠찌
523,포스코센터점,서울,강남구,서울 강남구 대치동 891-43 앰에스에이빌딩 1F 파스쿠찌 포스코센터점
524,대구동성로점,대구,중구,대구광역시 중구 동성로2가 70-2
525,수원 인계점,경기도,수원시,"경기도 수원시 팔달구 인계동 1127-1,수원인계동 한화 꿈에그린 Park 118,119,120호"
526,수원AK점,경기도,팔달구,경기도수원시 팔달구 매산로1가 수원역사 AK PLAZA 3층
527,롯데마산점,경상남도,창원시,경상남도 창원시 마산합포구 신포동2가 28
528,인천논현점,인천,남동구,인천광역시 남동구 논현동 627-5번지
529,광안리점,부산,수영구,부산시 수영구 민락동 179-2   파스쿠찌 광안리점
530,테크노마트점,서울,광진구,서울시 광진구 구의동 546-4 테크노마트 지하 D-10호  파스쿠찌 테크노마트점
531,목포 하당점,전라남도,목포시,전남 목포시 상동 889번지 파스쿠찌 목포하당점
532,광주수완점,광주,광주광역시,전남 광주광역시 광산구 장덕동 1661
