,store,sido,gugun,address
1221,센텀신세계B1  ,부산광역시,해운대구,부산광역시 해운대구 센텀남대로 35 (우동) 센텀시티 신세계UEC1522-3232
1222,해운대달맞이DT  ,부산광역시,해운대구,부산광역시 해운대구 달맞이길 57 (중동) 1~3층1522-3232
1223,센텀그린타워  ,부산광역시,해운대구,부산광역시 해운대구 센텀중앙로 78 (우동)1522-3232
1224,부산송정비치  ,부산광역시,해운대구,부산광역시 해운대구 송정해변로 36 (송정동)1522-3232
1225,장산역  ,부산광역시,해운대구,부산광역시 해운대구 해운대로 802 (좌동)1522-3232
1226,하버타운  ,부산광역시,해운대구,부산광역시 해운대구 해운대해변로 257 (우동)1522-3232
1227,벡스코  ,부산광역시,해운대구,"부산광역시 해운대구 APEC로 55, 벡스코내 (우동)1522-3232"
1228,베네시티  ,부산광역시,해운대구,부산광역시 해운대구 해운대해변로 163 (우동)1522-3232
1229,팔레드시즈  ,부산광역시,해운대구,"부산광역시 해운대구 해운대해변로298번길 24, 팔래드시즈 1-3호, 2-3호 (중동)1522-3232"
1230,블루스퀘어  ,부산광역시,해운대구,부산광역시 해운대구 좌동로 96 (좌동)1522-3232
1231,센텀시티역  ,부산광역시,해운대구,"부산광역시 해운대구 센텀동로 9, 트럼프월드센텀아파트 1층 (우동)1522-3232"
1232,제니스스퀘어  ,부산광역시,해운대구,"부산광역시 해운대구 마린시티2로 33, 제니스스퀘어 (우동)1522-3232"
1233,신세계마린시티  ,부산광역시,해운대구,부산광역시 해운대구 마린시티2로 38 (우동)1522-3232
1234,해운대달맞이  ,부산광역시,해운대구,부산광역시 해운대구 달맞이길 189 (중동)1522-3232
1235,해운대이마트  ,부산광역시,해운대구,부산광역시 해운대구 좌동순환로 511 (중동) 1층1522-3232
1236,센텀드림월드  ,부산광역시,해운대구,"부산광역시 해운대구 센텀2로 25, 센텀드림월드 1층 (우동)1522-3232"
1237,센텀KNN  ,부산광역시,해운대구,부산광역시 해운대구 센텀서로 30 (우동)1522-3232
1238,월드마크센텀  ,부산광역시,해운대구,"부산광역시 해운대구 센텀동로 25, 1층 (우동)1522-3232"
1239,해운대NC  ,부산광역시,해운대구,부산광역시 해운대구 해운대로 813 (좌동)1522-3232
1240,해운대좌동  ,부산광역시,해운대구,부산광역시 해운대구 좌동순환로 178 (좌동)1522-3232
1241,해운대 엑스더스카이  ,부산광역시,해운대구,부산광역시 해운대구 달맞이길30 1522-3232
1242,센텀신세계3F  ,부산광역시,해운대구,부산광역시 해운대구 센텀남대로 35 (우동)1522-3232
1243,해운대중동역  ,부산광역시,해운대구,부산광역시 해운대구 좌동순환로 6 (중동)1522-3232
1244,센텀몰1F  ,부산광역시,해운대구,부산광역시 해운대구 센텀4로 15 (우동)1522-3232
1245,그랜드조선 부산  ,부산광역시,해운대구,부산광역시 해운대구 해운대해변로 292 (중동)1522-3232
1246,울산번영로  ,울산광역시,남구,울산광역시 남구 삼산로 182 (달동)1522-3232
1247,울산대공원  ,울산광역시,남구,울산광역시 남구 대공원입구로 4 (옥동)1522-3232
1248,울산도산사거리DT  ,울산광역시,남구,울산광역시 남구 대암로129번길 9-6 (야음동)1522-3232
1249,울산시청사거리DT  ,울산광역시,남구,울산광역시 남구 중앙로 180 (달동)1522-3232
1250,울산남구청DT  ,울산광역시,남구,울산광역시 남구 번영로 215 (신정동)1522-3232
1251,울산중리사거리DT  ,울산광역시,남구,울산광역시 남구 돋질로 310 (삼산동)1522-3232
1252,울산옥동  ,울산광역시,남구,울산광역시 남구 문수로 329 (옥동)1522-3232
1253,울산센트럴  ,울산광역시,남구,울산광역시 남구 삼산로 231 (달동)1522-3232
1254,울산삼산타워  ,울산광역시,남구,울산광역시 남구 삼산로 273 (삼산동) 삼산타워1522-3232
1255,울산삼산로  ,울산광역시,남구,울산광역시 남구 삼산로 278 번길 8 (삼산동)1522-3232
1256,울산대  ,울산광역시,남구,울산광역시 남구 대학로84번길 5-3 (무거동)1522-3232
1257,울산디자인거리  ,울산광역시,남구,"울산광역시 남구 삼산중로74번길 30-1, 1~2층 (삼산동)1522-3232"
1258,울산신복  ,울산광역시,남구,울산광역시 남구 대학로 152 (무거동)1522-3232
1259,울산삼산대로  ,울산광역시,남구,"울산광역시 남구 삼산로 257, 1층 (달동)1522-3232"
1260,울산신정DT  ,울산광역시,남구,울산광역시 남구 문수로 435 (신정동)1522-3232
1261,울산호계DT  ,울산광역시,북구,울산광역시 북구 산업로 1464 (신천동)1522-3232
1262,울산북구청DT  ,울산광역시,북구,울산광역시 북구 산업로 1011 (연암동)1522-3232
1263,울산진장  ,울산광역시,북구,울산광역시 북구 진장17길 10 (진장동)1522-3232
1264,울산정자비치DT  ,울산광역시,북구,울산광역시 북구 동해안로 1601 (산하동)1522-3232
1265,울산화봉  ,울산광역시,북구,울산광역시 북구 화봉로 75 (화봉동)1522-3232
1266,울산간절곶  ,울산광역시,울주군,울산광역시 울주군 서생면 대송리 25-181522-3232
1267,울산MBC DT  ,울산광역시,중구,울산광역시 중구 번영로 434 (복산동)1522-3232
1268,울산성안  ,울산광역시,중구,울산광역시 중구 성안12길 45 (성안동)1522-3232
1269,울산성남삼거리  ,울산광역시,중구,울산광역시 중구 젊음의2거리 33 (성남동)1522-3232
1270,울산성남동  ,울산광역시,중구,울산광역시 중구 젊음의거리 74 (성남동)1522-3232
1271,울산국가정원  ,울산광역시,중구,울산광역시 중구 태화강국가정원길 205 (태화동)1522-3232
1272,현대동구  ,울산광역시,동구,울산광역시 동구 방어진순환도로 899 (서부동) 현대백화점주차장1522-3232
1273,울산테라스파크  ,울산광역시,동구,울산광역시 동구 방어진순환도로 652 (일산동)1522-3232
1274,울산대학교병원  ,울산광역시,동구,울산광역시 동구 방어진순환도로 879 (서부동)1522-3232
1275,현대동구5F  ,울산광역시,동구,울산광역시 동구 방어진순환도로 899 (서부동)1522-3232
1276,인천강화DT  ,인천광역시,강화군,인천광역시 강화군 강화읍 강화대로 343 1522-3232
1277,경인교대입구역DT  ,인천광역시,계양구,인천광역시 계양구 계양대로 131 (작전동)1522-3232
1278,인천계양  ,인천광역시,계양구,인천광역시 계양구 장제로 808 (계산동)1522-3232
1279,인천작전  ,인천광역시,계양구,"인천광역시 계양구 계양대로 37, 1층 (작전동)1522-3232"
1280,인천계산역DT  ,인천광역시,계양구,인천광역시 계양구 경명대로 1105 (계산동)1522-3232
1281,인천학익DT  ,인천광역시,미추홀구,인천광역시 미추홀구 매소홀로 368 (학익동)1522-3232
1282,인천용현DT  ,인천광역시,미추홀구,인천광역시 미추홀구 아암대로 107 (용현동)1522-3232
